"Region","Location","Rep","Block","Hybrid","GY"
"TR","E16",2,7,"G31",5.64
"TR","E16",2,10,"G12",9.54
"TR","E16",2,12,"G28",7.76
"TR","E16",2,12,"G13",7.93
"TR","E16",2,9,"G24",9.76
"TR","E16",2,10,"G25",8.56
"TR","E16",2,8,"G11",6.71
"TR","E16",2,8,"G21",4.58
"TR","E16",2,12,"G35",9.9
"TR","E16",2,8,"G7",7.17
"TR","E16",2,10,"G8",9.04
"TR","E16",2,11,"G22",7.27
"TR","E16",2,12,"G33",7.59
"TR","E16",2,8,"G32",9.02
"TR","E16",2,7,"G10",6.84
"TR","E16",2,7,"G36",6.03
"TR","E16",2,9,"G14",8.47
"TR","E16",2,9,"G4",9.14
"TR","E16",2,10,"G1",11.96
"TR","E16",2,10,"G3",6.97
"TR","E16",2,12,"G2",11.18
"MN","E1",1,3,"G9",9.01
"MN","E1",1,6,"G20",7.33
"MN","E1",1,5,"G34",8.16
"MN","E1",1,4,"G18",8.53
"MN","E1",1,6,"G30",8.26
"MN","E1",1,5,"G27",8.23
"MN","E1",1,5,"G29",10.13
"MN","E1",1,4,"G26",7.02
"MN","E1",1,3,"G15",6.67
"MN","E1",1,2,"G19",6.3
"MN","E1",1,1,"G5",7.77
"MN","E1",1,4,"G16",7.89
"MN","E1",1,1,"G6",6.68
"MN","E1",1,3,"G17",8.97
"MN","E1",1,2,"G23",8.25
"MN","E1",1,6,"G31",6.79
"MN","E1",1,3,"G12",8.12
"MN","E1",1,5,"G28",7.29
"MN","E1",1,2,"G13",8.34
"MN","E1",1,5,"G24",9.25
"MN","E1",1,5,"G25",8.88
"MN","E1",1,4,"G11",7.53
"MN","E1",1,1,"G21",8.43
"MN","E1",1,4,"G35",7.78
"MN","E1",1,2,"G7",7.72
"MN","E1",1,1,"G8",8.13
"MN","E1",1,1,"G22",8.9
"MN","E1",1,6,"G33",6.06
"MN","E1",1,6,"G32",8.17
"MN","E1",1,3,"G10",7.96
"MN","E1",1,1,"G36",10.23
"MN","E1",1,2,"G14",6.83
"MN","E1",1,2,"G1",10.15
"MN","E1",1,3,"G2",8.51
"MN","E1",1,4,"G4",9.21
"MN","E1",1,6,"G3",7.91
"MN","E1",2,9,"G9",10.06
"MN","E1",2,11,"G20",8.11
"MN","E1",2,8,"G34",9.1
"MN","E1",2,10,"G18",8.2
"MN","E1",2,9,"G30",10.01
"MN","E1",2,11,"G27",8.92
"MN","E1",2,7,"G29",8.78
"MN","E1",2,11,"G26",8.15
"MN","E1",2,8,"G15",7.5
"MN","E1",2,11,"G19",6.88
"MN","E1",2,12,"G5",8.15
"MN","E1",2,7,"G16",8.72
"MN","E1",2,9,"G6",8.66
"MN","E1",2,11,"G17",9.24
